element,xpath,LOD,action,value,color,explain
search-doc-title,/html/body/div[3]/div[2]/div[2]/div/input,0:04:02:04:01:01,input,,#D6EAF8,
faqi-search,/html/body/div[3]/div[3]/div[2]/div/input,0:04:02:04:01:02,input,,#D6EAF8,
qianyue-search,/html/body/div[3]/div[4]/div[2]/div/input,0:04:02:04:01:03,input,,#D6EAF8,
qingkong-button,/html/body/div[3]/div[6]/div[2]/button[1],0:04:02:04:01:04,click,,#D6EAF8,
do-search,/html/body/div[3]/div[6]/div[2]/button[2],0:04:02:04:01:05,click,,#D6EAF8,
page-info-page,/html/body/div[1]/div[1]/div/div[1]/div/div[3]/div[2]/div[1]/div,0:04:02:04:01:05:01,click,,#cbdce7,
caogao-page,/html/body/div[1]/div[1]/div/div[3]/div/div[4],0:04:02:05,click,,#1A5276,
gaoji-search-box,/html/body/div[1]/div[1]/div/div[1]/div/div[2]/div[2]/div[3],0:04:02:05:01,click,,#85C1E9,
search-doc-title,/html/body/div[3]/div[2]/div[2]/div/input,0:04:02:05:01:01,input,,#EBF5FB,
faqi-search,/html/body/div[3]/div[3]/div[2]/div/input,0:04:02:05:01:02,input,,#EBF5FB,
qianyue-search,/html/body/div[3]/div[4]/div[2]/div/input,0:04:02:05:01:03,input,,#EBF5FB,
qingkong-button,/html/body/div[3]/div[6]/div[2]/button[1],0:04:02:05:01:04,click,,#EBF5FB,
do-search,/html/body/div[3]/div[6]/div[2]/button[2],0:04:02:05:01:05,click,,#EBF5FB,
page-info-page,/html/body/div[1]/div[1]/div/div[1]/div/div[3]/div[2]/div[1]/div,0:04:02:05:01:05:01,click,,#edf3f6,
document-page,/html/body/div[1]/nav[2]/div[2]/ul/li[2],0:04:03,click,,#1B4F72,
to-do-list-page,/html/body/div[1]/div[1]/div/div[1]/div/div[2]/div[1]/div[1],0:04:03:01,click,,#21618C,
doing-list-page,/html/body/div[1]/div[1]/div/div[1]/div/div[2]/div[1]/div[2],0:04:03:02,click,,#21618C,
done-doc-page,/html/body/div[1]/div[1]/div/div[1]/div/div[2]/div[1]/div[3],0:04:03:03,click,,#21618C,
phone-login-page,/html/body/div/div[2]/div/div/div/div/form/h1/span,0:05,click,,#145A32,
tele,/html/body/div/div[2]/div/div/div/div/form/div[1]/div/div/input,0:05:01,input,,#512E5F,
v-code,/html/body/div/div[2]/div/div/div/div/form/div[2]/div[1]/div/div/div/input,0:05:02,input,,#512E5F,
obtain,/html/body/div/div[2]/div/div/div/div/form/div[2]/div[2]/button,0:05:03,click,,#512E5F,
remember,/html/body/div/div[2]/div/div/div/div/form/div[3]/label/label/span/input,0:05:04,click,,#512E5F,
mian-page,/html/body/div/div[2]/div/div/div/div/form/div[4]/button,0:05:05,click,,#512E5F,
register-page,/html/body/div/div[2]/div/div/div/div/form/div[5]/span/a,0:06,click,,#145A32,
tele,/html/body/div/div[2]/div/div/form/div/div[1]/div/div/input,0:06:01,input,,#641E16,
v-code,/html/body/div/div[2]/div/div/form/div/div[2]/div[1]/div/div/div/input,0:06:02,input,,#641E16,
register,/html/body/div/div[2]/div/div/form/div/div[2]/div[2]/button,0:06:03,click,,#641E16,
login-page,/html/body/div/div[2]/div/div/form/div/div[4]/span/a,0:06:04,click,,#641E16,
