,x,y,element,LOD,color
195,-11.26,3.50,@,-1,#000000
196,-11.26,4.50,@,-1,#000000
197,-10.39,5.00,@,-1,#000000
198,-10.39,6.00,@,-1,#000000
199,-11.26,5.50,@,-1,#000000
200,-12.12,6.00,@,-1,#000000
201,-11.26,6.50,@,-1,#000000
202,-10.39,7.00,@,-1,#000000
203,-9.53,6.50,@,-1,#000000
204,-8.66,7.00,@,-1,#000000
205,-8.66,8.00,@,-1,#000000
206,-8.66,9.00,@,-1,#000000
207,-9.53,8.50,@,-1,#000000
208,-9.53,7.50,@,-1,#000000
209,-10.39,8.00,@,-1,#000000
210,-10.39,9.00,@,-1,#000000
211,-11.26,9.50,@,-1,#000000
212,-12.12,9.00,@,-1,#000000
213,-12.99,8.50,@,-1,#000000
214,-12.12,8.00,@,-1,#000000
215,-11.26,8.50,@,-1,#000000
216,-11.26,7.50,@,-1,#000000
217,-12.12,7.00,@,-1,#000000
218,-12.99,7.50,@,-1,#000000
219,-13.86,7.00,@,-1,#000000
220,-12.99,6.50,@,-1,#000000
221,-12.99,5.50,@,-1,#000000
222,-13.86,6.00,@,-1,#000000
223,-14.72,6.50,@,-1,#000000
224,-14.72,7.50,@,-1,#000000
225,-13.86,8.00,@,-1,#000000
226,-13.86,9.00,@,-1,#000000
227,-14.72,8.50,@,-1,#000000
228,-15.59,9.00,@,-1,#000000
229,-14.72,9.50,@,-1,#000000
230,-13.86,10.00,@,-1,#000000
231,-12.99,9.50,@,-1,#000000
232,-12.12,10.00,@,-1,#000000
233,-12.12,11.00,@,-1,#000000
234,-12.99,10.50,@,-1,#000000
235,-13.86,11.00,@,-1,#000000
236,-12.99,11.50,@,-1,#000000
237,-12.12,12.00,@,-1,#000000
238,-11.26,11.50,@,-1,#000000
239,-11.26,10.50,@,-1,#000000
240,-10.39,10.00,@,-1,#000000
241,-9.53,9.50,@,-1,#000000
242,-9.53,10.50,@,-1,#000000
243,-10.39,11.00,@,-1,#000000
244,-9.53,11.50,@,-1,#000000
245,-8.66,11.00,@,-1,#000000
246,-7.79,11.50,@,-1,#000000
247,-7.79,12.50,@,-1,#000000
248,-8.66,12.00,@,-1,#000000
249,-9.53,12.50,@,-1,#000000
250,-8.66,13.00,@,-1,#000000
251,-7.79,13.50,@,-1,#000000
252,-6.93,13.00,@,-1,#000000
253,-6.06,13.50,@,-1,#000000
254,-6.06,14.50,@,-1,#000000
255,-6.06,15.50,@,-1,#000000
256,-6.93,15.00,@,-1,#000000
257,-6.93,14.00,@,-1,#000000
258,-7.79,14.50,@,-1,#000000
259,-7.79,15.50,@,-1,#000000
260,-8.66,16.00,@,-1,#000000
261,-9.53,15.50,@,-1,#000000
262,-10.39,15.00,@,-1,#000000
263,-9.53,14.50,@,-1,#000000
264,-8.66,15.00,@,-1,#000000
265,-8.66,14.00,@,-1,#000000
266,-9.53,13.50,@,-1,#000000
267,-10.39,14.00,@,-1,#000000
268,-11.26,13.50,@,-1,#000000
269,-10.39,13.00,@,-1,#000000
270,-10.39,12.00,@,-1,#000000
271,-11.26,12.50,@,-1,#000000
272,-12.12,13.00,@,-1,#000000
273,-12.12,14.00,@,-1,#000000
274,-11.26,14.50,@,-1,#000000
275,-11.26,15.50,@,-1,#000000
276,-12.12,15.00,@,-1,#000000
277,-12.99,15.50,@,-1,#000000
278,-12.12,16.00,@,-1,#000000
279,-11.26,16.50,@,-1,#000000
280,-10.39,16.00,@,-1,#000000
281,-9.53,16.50,@,-1,#000000
282,-9.53,17.50,@,-1,#000000
283,-10.39,17.00,@,-1,#000000
284,-11.26,17.50,@,-1,#000000
285,-10.39,18.00,@,-1,#000000
286,-9.53,18.50,@,-1,#000000
287,-8.66,18.00,@,-1,#000000
288,-8.66,17.00,@,-1,#000000
289,-7.79,16.50,@,-1,#000000
290,-6.93,16.00,@,-1,#000000
291,-6.93,17.00,@,-1,#000000
292,-7.79,17.50,@,-1,#000000
293,-6.93,18.00,@,-1,#000000
294,-6.06,17.50,@,-1,#000000
295,-6.06,16.50,@,-1,#000000
296,-5.20,16.00,@,-1,#000000
297,-5.20,17.00,@,-1,#000000
298,-4.33,17.50,@,-1,#000000
299,-4.33,16.50,@,-1,#000000
300,-4.33,15.50,@,-1,#000000
301,-5.20,15.00,@,-1,#000000
302,-5.20,14.00,@,-1,#000000
303,-4.33,13.50,@,-1,#000000
304,-3.46,13.00,@,-1,#000000
305,-3.46,14.00,@,-1,#000000
306,-4.33,14.50,@,-1,#000000
307,-3.46,15.00,@,-1,#000000
308,-2.60,14.50,@,-1,#000000
309,-2.60,13.50,@,-1,#000000
310,-1.73,13.00,@,-1,#000000
311,-0.87,12.50,@,-1,#000000
312,-0.87,13.50,@,-1,#000000
313,-1.73,14.00,@,-1,#000000
314,-0.87,14.50,@,-1,#000000
315,0.00,14.00,@,-1,#000000
316,0.87,14.50,@,-1,#000000
317,0.87,15.50,@,-1,#000000
318,0.87,16.50,@,-1,#000000
319,0.00,16.00,@,-1,#000000
320,0.00,15.00,@,-1,#000000
321,-0.87,15.50,@,-1,#000000
322,-0.87,16.50,@,-1,#000000
323,-1.73,17.00,@,-1,#000000
324,-2.60,16.50,@,-1,#000000
325,-1.73,16.00,@,-1,#000000
326,-1.73,15.00,@,-1,#000000
327,-2.60,15.50,@,-1,#000000
328,-3.46,16.00,@,-1,#000000
329,-3.46,17.00,@,-1,#000000
330,-2.60,17.50,@,-1,#000000
331,-2.60,18.50,@,-1,#000000
332,-3.46,18.00,@,-1,#000000
333,-4.33,18.50,@,-1,#000000
334,-3.46,19.00,@,-1,#000000
335,-2.60,19.50,@,-1,#000000
336,-1.73,19.00,@,-1,#000000
337,-1.73,18.00,@,-1,#000000
338,-0.87,17.50,@,-1,#000000
339,0.00,17.00,@,-1,#000000
340,0.00,18.00,@,-1,#000000
341,-0.87,18.50,@,-1,#000000
342,0.00,19.00,@,-1,#000000
343,0.87,18.50,@,-1,#000000
